model	reference_model	pruned_atom_pairs	pruned_rmsd_to_reference	all_atom_pairs	all_pair_rmsd_to_reference	source_file	comparison	hypothesis	seed	system	nt	nt_numeric	dna_type	modifier	modifier_plot	system_short	hypothesis_short	group_short	hypothesis_short_plot
2	gpa_ssDNA_30nt_seed5_model_0	422	0.918	513	3.892	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	9	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s9-m2	A-dsDNA
3	gpa_ssDNA_30nt_seed5_model_0	430	0.777	513	5.147	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	9	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s9-m3	A-dsDNA
4	gpa_ssDNA_30nt_seed5_model_0	425	0.915	513	5.558	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_dsDNA_30nt_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_dsDNA_30nt	9	gpa	30nt	30	dsDNA	NA	DNA-only	A	A-dsDNA	A-dsDNA-s9-m4	A-dsDNA
0	gpa_ssDNA_30nt_seed5_model_0	361	0.638	513	5.95	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	1	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s1-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	369	0.632	513	5.279	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	1	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s1-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	375	0.651	513	5.646	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	1	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s1-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	415	0.833	513	5.879	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	1	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s1-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	373	0.603	513	5.653	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	1	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s1-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	367	0.7	513	5.51	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	10	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s10-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	363	0.676	513	5.952	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	10	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s10-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	375	0.705	513	5.614	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	10	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s10-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	380	0.634	513	4.057	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	10	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s10-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	358	0.713	513	5.646	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	10	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s10-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	377	0.652	513	5.34	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	2	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s2-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	373	0.704	513	5.121	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	2	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s2-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	372	0.707	513	5.823	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	2	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s2-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	380	0.829	513	5.489	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	2	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s2-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	381	0.795	513	4.964	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	2	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s2-m4	A-C
0	gpa_ssDNA_30nt_seed5_model_0	390	0.735	513	3.13	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	3	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s3-m0	A-C
1	gpa_ssDNA_30nt_seed5_model_0	390	0.812	513	5.154	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	3	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s3-m1	A-C
2	gpa_ssDNA_30nt_seed5_model_0	377	0.657	513	5.037	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	3	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s3-m2	A-C
3	gpa_ssDNA_30nt_seed5_model_0	398	0.686	513	5.63	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	3	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s3-m3	A-C
4	gpa_ssDNA_30nt_seed5_model_0	372	0.632	513	5.731	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0.csv	gpa_noDNA_gpc_vs_gpa_ssDNA_30nt_seed5_model_0	gpa_noDNA_gpc	3	gpa	NA	NA	noDNA	gpc	+ C	A	A-noDNA-gpc	A-noDNA-gpc-s3-m4	A-C
