test_type	dataset	group	exposure_var	outcome_var	exposure_focus	outcome_focus	n_total	a_exposed_outcome	b_exposed_no_outcome	c_unexp_outcome	d_unexp_no_outcome	odds_ratio	conf_low	conf_high	log_or_ln	log_conf_low_ln	log_conf_high_ln	log_or_log10	log_conf_low_log10	log_conf_high_log10	p_value	method	subset	exposure_set	p_adj	significant	odds_ratio_plot
fisher_odds_ratio	NA	G	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Core	Detrimental,Lethal	3270	731	263	1246	1030	2.2970733204202634	1.9460227572687772	2.7163758450555706	0.831635843276004	0.6657876780781566	0.9992985819545152	0.3611748576877261	0.289147914708522	0.4339898599165904	1.3224790203709594e-24	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	4.8490897413601855e-24	TRUE	2.2970733204202634
fisher_odds_ratio	NA	G	monomer_structural_class_predicted	mutation_category_FDR_lethal_1aa	Surface	Detrimental,Lethal	3270	1246	1030	731	263	0.4353365611407851	0.3681375689672071	0.5138686052179009	-0.8316358432760018	-0.9992985819545145	-0.6657876780781564	-0.3611748576877251	-0.4339898599165901	-0.28914791470852197	1.3224790203709598e-24	Fisher's Exact Test for Count Data	single_orf	monomer_structural_class_predicted	4.8490897413601855e-24	TRUE	0.4353365611407851
fisher_odds_ratio	NA	A	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	4832	1318	608	1305	1601	2.6589045382667016	2.3529625459087313	3.0064969724905923	0.9779142102499979	0.8556751920276898	1.100775604508984	0.42470274528635055	0.37161501419913107	0.4780607708519681	6.016929663965292e-59	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	3.67701257242329e-58	TRUE	2.6589045382667016
fisher_odds_ratio	NA	A	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	4832	1305	1601	1318	608	0.37609473586136405	0.33261300748012934	0.42499614018028953	-0.9779142102500007	-1.1007756045089845	-0.8556751920276917	-0.4247027452863517	-0.47806077085196824	-0.3716150141991319	6.0169296639653835e-59	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	3.67701257242329e-58	TRUE	0.37609473586136405
fisher_odds_ratio	NA	B	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	115	24	17	25	49	2.7412914854034507	1.173925000728452	6.553744624295722	1.0084291543895556	0.16035283582902285	1.8800365846556666	0.4379552171417464	0.06964035175808267	0.8164895144921918	0.011521424569760026	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.017602176426022274	TRUE	2.7412914854034507
fisher_odds_ratio	NA	B	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	115	25	49	24	17	0.3647915609575627	0.15258452340252143	0.8518431751427674	-1.0084291543895552	-1.880036584655667	-0.16035283582902268	-0.4379552171417462	-0.816489514492192	-0.0696403517580826	0.011521424569760035	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.017602176426022274	TRUE	0.3647915609575627
fisher_odds_ratio	NA	D	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	979	673	76	196	34	1.5353844864930368	0.96250543077677575	2.410591751345838	0.42878082947435675	-0.03821557047063455	0.8798722573400831	0.18621714818661234	-0.01659681137818144	0.3821236661425561	0.056432334918950465	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.07958406206518656	FALSE	1.5353844864930368
fisher_odds_ratio	NA	D	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	979	196	34	673	76	0.6513026598856	0.41483590053840447	1.0389551767962129	-0.4287808294743558	-0.8798722573400828	0.03821557047063461	-0.18621714818661192	-0.38212366614255594	0.01659681137818147	0.056432334918950465	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.07958406206518656	FALSE	0.6513026598856
fisher_odds_ratio	NA	E	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	120	35	60	9	16	1.0367287899550943	0.3824181847080254	2.961183866294186	0.03607036172924067	-0.9612405447827675	1.0855891432044729	0.015665159059263457	-0.4174614643808316	0.4714653745077816	0.9999999999999999	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	1	FALSE	1.0367287899550943
fisher_odds_ratio	NA	E	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	120	9	16	35	60	0.9645724221117787	0.33770277198337656	2.6149384103255877	-0.03607036172924183	-1.085589143204474	0.9612405447827685	-0.015665159059263963	-0.4714653745077821	0.417461464380832	1.0000000000000004	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	1	FALSE	0.9645724221117787
fisher_odds_ratio	NA	F	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	5940	4342	576	814	208	1.9260193738577016	1.6078384341529768	2.3014973987527054	0.6554553724414895	0.47489068943567136	0.8335599540345487	0.28466065138517965	0.20624240592914297	0.36201048837273275	1.6283307108993471e-12	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	4.713588899971795e-12	TRUE	1.9260193738577016
fisher_odds_ratio	NA	F	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	5940	814	208	4342	576	0.5192055768354271	0.43449973071529385	0.6219530387870154	-0.6554553724414934	-0.833559954034549	-0.474890689435671	-0.2846606513851814	-0.36201048837273286	-0.20624240592914278	1.6283307108993425e-12	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	4.713588899971795e-12	TRUE	0.5192055768354271
fisher_odds_ratio	NA	G	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	2276	1080	505	166	525	6.757348721518295	5.490065469500504	8.345625318898103	1.910630612165129	1.7029401806781128	2.121737487667501	0.8297763318187475	0.7395775234798311	0.9214588829412645	2.185800701170453e-86	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	1.7174148366339288e-85	TRUE	6.757348721518295
fisher_odds_ratio	NA	G	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	2276	166	525	1080	505	0.14798703473975924	0.11982325611186583	0.1821471903304976	-1.9106306121651333	-2.121737487667502	-1.702940180678112	-0.8297763318187494	-0.9214588829412649	-0.7395775234798306	2.1858007011704548e-86	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	1.7174148366339288e-85	TRUE	0.14798703473975924
fisher_odds_ratio	NA	H	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	2435	1199	1009	126	101	0.9525370144031927	0.7158912001195636	1.2650196719420526	-0.04862631247050247	-0.3342270787081177	0.23508767300090294	-0.0211181391812425	-0.14515297598557936	0.10209727914776823	0.7796227623423418	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.8090424892231859	FALSE	0.9525370144031927
fisher_odds_ratio	NA	H	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	2435	126	101	1199	1009	1.0498279698102495	0.7905015409482167	1.3968603047962957	0.04862631247052267	-0.23508767300090286	0.33422707870811735	0.021118139181251275	-0.10209727914776819	0.1451529759855792	0.7796227623423427	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.8090424892231859	FALSE	1.0498279698102495
fisher_odds_ratio	NA	J	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Interface	Detrimental,Lethal	684	349	126	161	48	0.8260185438143907	0.5509119763477239	1.2258479102186024	-0.1911380555746721	-0.5961802351359852	0.2036327761634287	-0.08301020281779717	-0.25891778633934154	0.08843659102241712	0.34197052643363335	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.42746315804204177	FALSE	0.8260185438143907
fisher_odds_ratio	NA	J	residue_surface_class_predicted	mutation_category_FDR_lethal_1aa	Non-interface surface	Detrimental,Lethal	684	161	48	349	126	1.2106265742923872	0.8157618833984652	1.8151720110161873	0.19113805557467398	-0.2036327761634289	0.5961802351359855	0.08301020281779799	-0.0884365910224172	0.25891778633934165	0.3419705264336334	Fisher's Exact Test for Count Data	single_orf	residue_surface_class_predicted	0.42746315804204177	FALSE	1.2106265742923872
